titulo_revista,aims_scope,indexador,jif,sjr,grande_area,S_text,S_index,fator_impacto,Score_final
Per Musi,"Missão: PA missão da Per Musi (Revista Acadêmica de Música) é publicar artigos científicos inéditos prioritariamente em inglês, mas também em português e espanhol, bem estruturados e fundamentados, que constituam contribuições relevantes para as diversas sub-áreas da música, incluindo as interfaces entre si e com outras áreas do conhecimento. Número mais recente Per Musi, Volume: 26, Publicado: 2025. PA missão da Per Musi (Revista Acadêmica de Música) é publicar artigos científicos inéditos prioritariamente em inglês, mas também em português e espanhol, bem estruturados e fundamentados, que constituam contribuições relevantes para as diversas sub-áreas da música, incluindo as interfaces entre si e com outras áreas do conhecimento.","Scielo, Scopus",,134.0,"Letters And Arts, Linguistics",0.51656526,0.8,134.0,0.573252204656601
Estudios de Derecho,"Fundada en 1912, Estudios de Derecho es una revista científica semestral de la Facultad de Derecho y Ciencias Políticas de la Universidad de Antioquia. Contribuye al debate de las ideas en torno al derecho y la política y fomenta el diálogo con otras disciplinas. Prioriza la publicación de artículos producto de investigación, escritos por autores nacionales y extranjeros. Está dirigida a politólogos, abogados y, en general, profesionales interesados en las áreas sociales del conocimiento.

La Revista Estudios de Derecho recibió la máxima evaluación del sistema brasileño de clasificación de revistas científicas al ser ubicada en la categoría QUALIS A1, el nivel más alto otorgado por CAPES. Este reconocimiento constituye un hito en su proceso de fortalecimiento y en su posicionamiento intern","Scopus, Web of Science - ESCI",0.4,158.0,"Health Sciences, Others / Unclassified",0.51610976,0.8,158.0,0.5728878116607666
Revista Enfermagem UERJ,"Sobre a Revista A Revista Enfermagem UERJ publica trabalhos originais e inéditos nos campos da Enfermagem, Saúde e áreas afins, especialmente relacionados às áreas de Enfermagem Médico-Cirúrgica, Obstétrica, Pediátrica, Saúde Mental e Psiquiatria, Saúde Pública e Doenças Emergentes Reemergentes e Negligenciadas, tais como resultados de pesquisa, estudos teóricos, revisões críticas da literatura e discussão de temas atuais e relevantes para a saúde humana. O processo de avaliação por pares utiliza o sistema de dupla avaliação anônima. Caracteriza-se como periódico de circulação internacional, que adota diretrizes voltadas à promoção de Diversidade, Equidade, Inclusão e Acessibilidade na pesquisa científica (Diretrizes SAGER). Em consonância às recomendações relacionadas à Ciência Aberta (Op",Scopus,,161.0,Health Sciences,0.5142967,0.8,161.0,0.5714373624324799
"Cuadernos de Musica, Artes Visuales y Artes Escenicas","Escrituras fronterizas: la palabra como práctica artística y el cuerpo expandido en la escritura me gustaría arriesgarme a pensar aquí mismo que esta revista puede ser ese lugar que todavía no existe, un ‘espacio entre’ que, como artistas, renueve y torne fecunda nuestra relación con las palabras. deseo que sea un tratado de escucha hacia mi [tu, nuestra] propia práctica artística. que el cuerpo y la vida que lo atraviesa se expandan en la escritura. las partes heterogéneas que darán cuerpo a este editorial –y a este dosier– podrán relacionarse pero no configuran un todo. tampoco serán sometidas a jerarquizaciones o encadenamientos progresivos. aquí las palabras se juntarán sin aviso, sin preparación. los tiempos verbales perfectos, las lenguas, las fuentes, los pensamientos se amalgaman e","Scopus, Web of Science - ESCI",0.2,113.0,"Agricultural Sciences, Letters And Arts, Linguistics",0.51378655,0.8,113.0,0.5710292494297028
Acta Biologica Colombiana,"La revista se publica cuatrimestralmente y divulga resultados originales e inéditos de investigación básica y aplicada sobre temas biológicos con especial interés en presentar resultados de trabajos realizados y/o relacionados con el neotrópico. Los manuscritos pueden ser artículos de investigación, artículos de revisión, artículos de reflexión o notas breves. Acta biol. Colomb. cuenta con un comité científico y editorial compuestos por investigadores de reconocida trayectoria en sus áreas de especialidad.","Scopus, Web of Science - SCIE",2.5,175.0,"Biological Sciences, Others / Unclassified",0.46265408,1.0,175.0,0.570123267173767
Bakhtiniana: Revista de Estudos do Discurso,"Sobre a Revista Em formato eletrônico, é um periódico bilíngue - português e inglês -, criado em 2008 pelo Programa de Pós-Graduação em Linguística Aplicada e Estudos da Linguagem /LAEL-PUCSP e pelo Grupo de Pesquisa PUC-SP/CNPq Linguagem, Identidade e Memória, com o objetivo de promover e divulgar pesquisas produzidas no campo dos estudos do discurso. Desde 2019, publica quatro números por ano, constituídos sobretudo de artigos inéditos e resenhas redigidos por pesquisadores e/ou professores vinculados a instituições de ensino superior e pesquisa nacionais ou internacionais. Recebe artigos em fluxo contínuo e para números temáticos. A partir de 2023, adotou a publicação contínua: seus textos (apresentações, editoriais, artigos e resenhas) são publicados no SciELO na medida em que são apro","Scielo, Scopus",,208.0,"Letters And Arts, Linguistics",0.50952804,0.8,208.0,0.5676224267482758
Scientia Agraria,"A Ciência Agrária, em sua essência, é um campo de saber intrinsecamente interdisciplinar. Ao conciliar ecologia, biotecnologia, manejo do solo, produção vegetal e zootecnia com dimensões econômicas e sociais, o volume e a heterogeneidade das descobertas impõem um desafio constante à comunidade acadêmica: o da síntese metodológica e conceitual. A vasta produção de pesquisa original, como a que é regularmente publicada nesta revista, exige dos pesquisadores e educadores uma capacidade crescente de estruturação do conhecimento. Não se trata apenas de acumular dados, mas de organizá-los em modelos heurísticos que permitam a progressão epistemológica do campo. A fragmentação do saber, se não for continuamente articulada, pode obscurecer as macro-tendências e os vínculos causais que governam os",Scopus,,107.0,Others / Unclassified,0.5094155,0.8,107.0,0.567532423734665
"Revista Latinoamericana de Ciencias Sociales, Ninez y Juventud","Sube tu artículo Número actual Volúmenes publicados Sección tercera y cuarta Sube tu artículo Número actual Volúmenes publicados Sección tercera y cuarta Presentación La Revista Latinoamericana de Ciencias Sociales, Niñez y Juventud es una publicación científica, arbitrada y multidisciplinar dedicada fundamentalmente a la presentación de resultados de investigaciones que, desde la mirada de las ciencias sociales, tengan a la niñez y la juventud como su foco central (y no tan solo como un tema subsidiario). De esta manera, publica investigaciones, análisis y meta-análisis inéditos, los cuales, por su calidad y rigurosidad, representan los principales avances en el estudio de la niñez y la juventud en Latinoamérica y el Caribe, o que debaten saberes y conocimientos sobre dicha temática. En s",Scopus,,0.34,Humanities,0.5088826,0.8,0.34,0.5671060717105866
Civilistica.com,"Neste primeiro número de 2026, a ||civilistica.com inaugura seu décimo quinto ano de publicação ininterrupta com novas contribuições doutrinárias ao debate em torno da reforma do Código Civil de 2002, que segue em trâmite no Senado Federal. Às críticas já formuladas nas edições anteriores somam-se, agora, estudos que denunciam, por exemplo, a incoerência na disciplina jurídica do chamado lucro da intervenção, a grave atecnia e os riscos sistêmicos da preocupante proposta de um livro sobre 'Direito Digital', ou, ainda, a falta de respostas aos problemas atuais na disciplina proposta pelo direito sucessório à figura da colação. Destacamos, igualmente, o artigo da nossa Editora Internacional, Profª Maria Cristina De Cicco, com considerações fundamentais para o diagnóstico da crise por que pas",Scopus,,194.0,Others / Unclassified,0.50847113,0.8,194.0,0.5667769050598145
Atalante-Revista De Estudios Cinematograficos,"Esta revista es un vehículo de expresión tanto de los profesionales como de los teóricos del medio y abarca, además de la praxis del cine, los más diversos temas comprendidos en el ámbito del audiovisual contemporáneo.",Web of Science - AHCI,5.1,,Others / Unclassified,0.5334624,0.7,5.1,0.5667699420452118
Revista Juridica,"A REVISTA JURÍDICA é um periódico peer-reviewed, editado pelo Programa de Mestrado e Doutorado em Direito Empresarial e Cidadania do Unicuritiba, lançada em 1981, e que representa uma expressiva conquista que acarreta importantes resultados para os programas de Pós-Graduação brasileiros, e fundamentalmente para a área do Direito. Veja o código de conduta (click here).

Seu principal objetivo é potencializar a internacionalização e, fundamentalmente, construir um novo espaço para a inserção internacional e a divulgação de pesquisas realizadas pelos pesquisadores dos programas de Pós-Graduação em Direito do Brasil. Além disso, este periódico adota as boas práticas editoriais, por meio de elementos intrínsecos (qualidade) e extrínsecos (forma/apresentação) e normas internacionais para a edito",Scopus,,143.0,Others / Unclassified,0.5079093,0.8,143.0,0.5663274562358857
Revista Conhecimento Online,"Sobre a Revista Conhecimento Online é a revista eletrônica semestral de acesso aberto do Programa de Pós-Graduação em Diversidade Cultural e Inclusão Social da Universidade Feevale, com publicações desde 2009, que busca investigar as interfaces entre a diversidade e a inclusão, sem perder de vista os processos de homogeneização e heterogeneização culturais, característicos das sociedades contemporâneas. • Periódico associado à ABEC (Associação Brasileira de Editores Científicos)............................................................................................................................................................................................................................Principais Indexadores/diretórios ⭐📚 Scopus • Redalyc • Capes • Ebsco • Redib • Erihplus • Doaj •",Scopus,,133.0,Others / Unclassified,0.5053483,0.8,133.0,0.5642786657810211
Theologica Xaveriana,"ISSN: 2011-219X (En línea) | ISSN: 0120-3649 (Impreso)Theologica Xaveriana es una publicación seriada de acceso abierto. Circula de manera ininterrumpida desde 1951. Publica artículos inéditos de investigación, reflexión y revisión, así como documentos y reseñas de libros que dan cuenta del quehacer teológico actual. Busca promover la exploración de horizontes de liberación y realización del ser humano, propiciar el diálogo abierto de carácter interdisciplinario, interreligioso e intercultural y prestar así un servicio a la comunidad teológica, a la Iglesia y a la sociedad.La revista está dirigida a teólogos, investigadores, docentes, estudiantes universitarios y todos los que contribuyen al desarrollo del saber teológico y a la pluralidad de sus expresiones, o se interesan por ellas.Los a",Scopus,,141.0,"Letters And Arts, Linguistics",0.5041693,0.8,141.0,0.5633354222774506
Educacao and Realidade,"Missão: Educação & Realidade tem como missão a divulgação da produção científica na área da educação e o incentivo ao debate acadêmico para a produção de novos conhecimentos. Visa, também, a ampliação das ferramentas analíticas de modo a expandir as fronteiras do pensamento e da prática no campo da educação. A revista tem como objetivo central servir de veículo não apenas para o conhecimento e as pesquisa. Educação & Realidade tem como missão a divulgação da produção científica na área da educação e o incentivo ao debate acadêmico para a produção de novos conhecimentos. Visa, também, a ampliação das ferramentas analíticas de modo a expandir as fronteiras do pensamento e da prática no campo da educação. A revista tem como objetivo central servir de veículo não apenas para o conhecimento e as pesquisas já consolidadas, mas também para perspectivas inovadoras, tanto no que se refere à argumentação quanto à metodologia, e que se apresentam como alternativas aos modelos estabelecidos na área.","Educ@, Scielo, Scopus",,204.0,"Humanities, Letters And Arts, Linguistics, Others / Unclassified",0.5032624,0.8,204.0,0.5626099145412445
EGA Revista de Expresion Grafica Arquitectonica,"La revista se edita simultáneamente en papel y en formato digital, y adopta un modelo de acceso abierto diamante, lo que significa que no se cobra por publicar ni por acceder, y tiene una financiación institucional. La revista EGA Expresión Gráfica Arquitectónica es una publicación cuatrimestral editada por los Departamentos de Expresión Gráfica Arquitectónica de las universidades españolas, con sede editorial en la Universitat Politécnica de València. Su ámbito se centra en la expresión gráfica de la arquitectura, proponiendo la publicación de artículos de investigación en aspectos tales como grafismo, bocetos, cartografía, levantamiento, nuevas tecnologías, color, patrimonio, etc. A la publicación de artículos de investigación se suman secciones fijas, tales como entrevistas con las prin","Scopus, Web of Science - AHCI",0.4,277.0,"Exact and Earth Sciences, Letters And Arts, Linguistics",0.50296617,0.8,277.0,0.5623729264736176
Iberoamericana - Nordic Journal of Latin American and Caribbean Studies,"Iberoamericana  Revista Nórdica de Estudios de Latinoamérica y el Caribe, es una revista académica arbitrada, interdisciplinaria y bilingüe. Es administrada por el Instituto de Estudios Latinoamericanos de la Universidad de Estocolmo en colaboración con otras universidades nórdicas con el objetivo de presentar investigación de alta calidad sobre América Latina.

La revista publica manuscritos originales que abordan América Latina y el Caribe desde cualquiera de los enfoques disciplinarios de las ciencias sociales y las humanidades. Investigadores de todo el mundo pueden enviar sus manuscritos en inglés, español y portugués. Simplemente haga clic en el botón 'Iniciar envío'.",Scopus,,248.0,"Letters And Arts, Linguistics",0.50243926,0.8,248.0,0.561951402425766
Edutec,"El número 96 de Edutec. Revista Electrónica de Tecnología Educativa incluye dos secciones especiales y una sección general. La primera sección especial, titulada “El desarrollo de la Competencia Digital Ciudadana desde la Perspectiva de Género y el Enfoque en Competencias STEM”, está coordinada por Mireia Usart Rodríguez y Tania Molero-Aranda, de la Universitat Rovira i Virgili. Esta sección reúne doce contribuciones que abordan la competencia digital ciudadana desde una mirada crítica, inclusiva y sensible a las desigualdades de género, con especial atención a los ámbitos STEM. Los trabajos incluidos analizan cuestiones como la brecha digital de género, la inteligencia artificial desde perspectivas éticas y educativas, la formación del profesorado, el pensamiento computacional, los entorn",Scopus,,333.0,Others / Unclassified,0.49942523,0.8,333.0,0.5595401859283448
Revista De Investigacoes Constitucionais-Journal Of Constitutional Research,"Missão: A Revista de Investigações Constitucionais é um periódico científico quadrimestral, promovido pelo NINC - Núcleo de Investigações Constitucionais do Programa de Pós-Graduação em Direito da Universidade Federal do Paraná - UFPR (www.ninc.com.br). Tem como objetivo principal a publicação de artigos jurídicos de excelência de pesquisadores nacionais e estrangeiros na seara constitucional, e ser lida . A Revista de Investigações Constitucionais é um periódico científico quadrimestral, promovido pelo NINC - Núcleo de Investigações Constitucionais do Programa de Pós-Graduação em Direito da Universidade Federal do Paraná - UFPR (www.ninc.com.br). Tem como objetivo principal a publicação de artigos jurídicos de excelência de pesquisadores nacionais e estrangeiros na seara constitucional, e ser lida por doutrinadores, pesquisadores e estudantes de Direito de diferentes países interessados em Direito Constitucional, por meio da publicação de artigos em inglês e outros idiomas.","Scielo, Scopus, Web of Science - ESCI",0.3,781.0,Others / Unclassified,0.49846095,0.8,781.0,0.5587687528133393
Anuario Musical,Información de la revista Anuario musical: Revista de musicología del CSIC,"Scopus, Web of Science - AHCI",10.5,101.0,"Letters And Arts, Linguistics, Others / Unclassified",0.49534765,0.8,101.0,0.5562781131267548
Journal of Urban and Environmental Engineering,"Missão: é promover um debate científico qualificado sobre temas acadêmicos relevantes, embasados em pesquisas empíricas e/ou análises teóricas. A Política & Trabalho se destina a promover o intercâmbio de conhecimento entre brasileiros e estrangeiros, sejam eles pesquisadores ou público interessado. Acessar revista Edição Atual Revista Espaço do Currículo A Revista Espaço do Currículo (REC) é um periódico. O Portal de Periódicos da Universidade Federal da Paraíba (UFPB) tem como objetivo ampliar a visibilidade e a disseminação da produção científica da instituição por meio da publicação de revistas eletrônicas científicas elaboradas e gerenciadas por pesquisadores vinculados à UFPB. O portal promove o acesso aberto à informação científica e tecnológica, contribuindo para a difusão do conhecimento e para o fortalecimento da comunicação científica. Além disso, oferece suporte técnico e editorial aos editores de periódicos da instituição, em consonância com as diretrizes da Coordenação de Aperfeiçoamento de Pessoal de Nível Superior (CAPES) e do Conselho Nacional de Desenvolvimento Científico e Tecnológico (CNPq) para a gestão e qualificação de periódicos científicos.",Scopus,,145.0,Others / Unclassified,0.49518117,0.8,145.0,0.5561449563503266
Informacao e Sociedade,"Missão: é promover um debate científico qualificado sobre temas acadêmicos relevantes, embasados em pesquisas empíricas e/ou análises teóricas. A Política & Trabalho se destina a promover o intercâmbio de conhecimento entre brasileiros e estrangeiros, sejam eles pesquisadores ou público interessado. Acessar revista Edição Atual Revista Espaço do Currículo A Revista Espaço do Currículo (REC) é um periódico. O Portal de Periódicos da Universidade Federal da Paraíba (UFPB) tem como objetivo ampliar a visibilidade e a disseminação da produção científica da instituição por meio da publicação de revistas eletrônicas científicas elaboradas e gerenciadas por pesquisadores vinculados à UFPB. O portal promove o acesso aberto à informação científica e tecnológica, contribuindo para a difusão do conhecimento e para o fortalecimento da comunicação científica. Além disso, oferece suporte técnico e editorial aos editores de periódicos da instituição, em consonância com as diretrizes da Coordenação de Aperfeiçoamento de Pessoal de Nível Superior (CAPES) e do Conselho Nacional de Desenvolvimento Científico e Tecnológico (CNPq) para a gestão e qualificação de periódicos científicos.",Scopus,,107.0,Others / Unclassified,0.49518117,0.8,107.0,0.5561449563503266
OBUTCHÉNIE. REVISTA DE DIDÁTICA E PSICOLOGIA PEDAGÓGICA,"A Revista Obutchénie tem como missão estabelecer interlocução entre as(os) profissionais da Educação Básica e Superior, a comunidade educacional e os psicólogos vinculados à aprendizagem e ao desenvolvimento humano, no sentido de estimular a reflexão e a análise, em diferentes âmbitos, sobre a Didática Desenvolvimental, a aprendizagem escolar e seu papel no desenvolvimento psíquico e subjetivos dos alunos. Procura incentivar à investigação e o debate acadêmico acerca dos processos de ensino-aprendizagem-desenvolvimento, formação de professores, práticas de ensino, aspectos históricos, biografias e fundamentos epistemológicos e metodológicos do ensino numa perspectiva materialista dialética; prestando-se como instrumento de divulgação do conhecimento, especialmente, nas áreas de didática e",Educ@,,,Humanities,0.5918305,0.4,0.0,0.5534643995761872
REVISTA DE EDUCAÇÃO PÚBLICA,"A Revista de Educação Pública  publicação quadrimestral articulada ao Mestrado e Doutorado do Programa de Pós-Graduação em Educação da Universidade Federal de Mato Grosso  objetiva contribuir para a divulgação de conhecimentos científicos pertinentes à área de Educação em meio à diferentes perspectivas teórico-metodológicas de análises, em tempos e espaços diversos, no sentido de fomentar e facilitar o intercâmbio de pesquisas produzidas dentro desse campo de saber, em âmbito regional, nacional e internacional, e assim, contribuir para o debate e enfrentamento dos problemas da educação brasileira em suas diferentes esferas. Além de seu formato eletrônico, a Revista também veicula nacional e internacionalmente em formato impresso.",Educ@,,,Humanities,0.5917418,0.4,0.0,0.5533934402465821
Vibrant: Virtual Brazilian Anthropology,"Missão: A missão principal da Vibrant - revista eletrônica da Associação Brasileira de Antropologia - consiste em divulgar a antropologia brasileira através da publicação de artigos a materiais audiovisuais em inglês, francês e espanhol, da autoria de antropólogos que se encontram trabalhando ou estudando em instituições brasileiras. Número mais recente Vibrant: Virtual Brazilian Anthropology, Volume: 23,. A missão principal da Vibrant - revista eletrônica da Associação Brasileira de Antropologia - consiste em divulgar a antropologia brasileira através da publicação de artigos a materiais audiovisuais em inglês, francês e espanhol, da autoria de antropólogos que se encontram trabalhando ou estudando em instituições brasileiras.","Scielo, Scopus",,173.0,Others / Unclassified,0.49059492,0.8,173.0,0.5524759328365326
Ethnomusicology Forum,"Aims and Scope: Ethnomusicology is the multidisciplinary study of music in its cultural context. The discipline investigates social, cognitive, biological, comparative","Scopus, Web of Science - AHCI",5.0,248.0,"Letters And Arts, Linguistics, Others / Unclassified",0.4897151,0.8,248.0,0.5517720913887024
Ethnomusicology,"Aims and Scope: Ethnomusicology is the multidisciplinary study of music in its cultural context. The discipline investigates social, cognitive, biological, comparative","Scopus, Web of Science - AHCI",,219.0,"Letters And Arts, Linguistics, Others / Unclassified",0.4897151,0.8,219.0,0.5517720913887024
Acta Colombiana de Psicologia,"ISSN:1909-9711 (En línea) La Revista Acta Colombiana de Psicología publica hallazgos originales de las investigaciones en Psicología, las ciencias sociales y el diálogo de estas con otras disciplinas, con el propósito de divulgarlas a la comunidad académica y a todas las personas interesadas en conocer sus nuevos avances y aplicaciones a distintos campos y necesidades de la sociedad contemporánea. Dentro de las líneas de publicación se admiten artículos empíricos, validaciones psicométricas, revisiones de literatura narrativas, de alcance o sistemáticas, metaanálisis o artículos teóricos.","Scopus, Web of Science - ESCI",,284.0,"Health Sciences, Engineering",0.48886824,0.8,284.0,0.551094595193863
Procesamiento del Lenguaje Natural,Revista científica en el ámbito del Procesamiento del Lenguaje Natural,"Scopus, Web of Science - ESCI",1.3,367.0,"Biological Sciences, Others / Unclassified",0.48813576,0.8,367.0,0.5505086219310761
Antipoda,"La revista Antípoda es una publicación trimestral dedicada a la antropología y arqueología, creada en 2005 y respaldada por la Facultad de Ciencias Sociales de la Universidad de los Andes en Colombia. Su misión es avanzar y difundir el conocimiento en estas disciplinas, así como analizar críticamente temas socioculturales, metodológicos y teóricos relevantes. Publica artículos inéditos en español, inglés y portugués, abordando una variedad de enfoques y perspectivas. La revista se estructura en secciones que reflejan su enfoque temático, incluyendo Meridianos, Paralelos, Panorámicas y Documentos. No cobra a los autores por los procesos editoriales y todos los contenidos son de acceso abierto. Los artículos se someten a detección de plagio y los autores deben garantizar la originalidad y re",Scopus,,205.0,"Letters And Arts, Linguistics",0.48722965,0.8,205.0,0.5497837102413178
Revista Internacional De Educacion Musical,La Revista Internacional de Educación Musical (RIEM) invita a los investigadores y educadores musicales a enviar trabajos para su publicación. Adem...,Web of Science - ESCI,,,Others / Unclassified,0.56160736,0.5,0.0,0.5492858946323395
