Journal title,ISSN,eISSN,Categorias,Indexador
American Journal Of Pharmaceutical Education,0002-9459,1553-6467,"Education, Scientific Disciplines, Pharmacology & Pharmacy",Web of Science - SCIE
American Journal Of Philology,0002-9475,1086-3168,Classics,Web of Science - AHCI
American Journal Of Physical Medicine & Rehabilitation,0894-9115,1537-7385,"Rehabilitation, Sport Sciences",Web of Science - SCIE
American Journal Of Physics,0002-9505,1943-2909,"Education, Scientific Disciplines, Physics, Multidisciplinary",Web of Science - SCIE
American Journal Of Physiology-Cell Physiology,0363-6143,1522-1563,"Cell Biology, Physiology",Web of Science - SCIE
American Journal Of Physiology-Endocrinology And Metabolism,0193-1849,1522-1555,"Endocrinology & Metabolism, Physiology",Web of Science - SCIE
American Journal Of Physiology-Gastrointestinal And Liver Physiology,0193-1857,1522-1547,"Gastroenterology & Hepatology, Physiology",Web of Science - SCIE
American Journal Of Physiology-Heart And Circulatory Physiology,0363-6135,1522-1539,"Cardiac & Cardiovascular System, Physiology, Peripheral Vascular Diseases",Web of Science - SCIE
American Journal Of Physiology-Lung Cellular And Molecular Physiology,1040-0605,1522-1504,"Physiology, Respiratory System",Web of Science - SCIE
"American Journal Of Physiology-Regulatory, Integrative And Comparative Physiology",0363-6119,1522-1490,Physiology,Web of Science - SCIE
American Journal Of Physiology-Renal Physiology,1931-857X,1522-1466,"Physiology, Urology & Nephrology",Web of Science - SCIE
American Journal Of Play,1938-0399,1938-0402,"Social Sciences, Interdisciplinary",Web of Science - ESCI
American Journal Of Political Science,0092-5853,1540-5907,Political Science,Web of Science - SSCI
American Journal Of Potato Research,1099-209X,1874-9380,Agronomy,Web of Science - SCIE
American Journal Of Preventive Cardiology,2666-6677,2666-6677,Cardiac & Cardiovascular System,Web of Science - ESCI
American Journal Of Preventive Medicine,0749-3797,1873-2607,"Public, Environmental & Occupational Health, Medicine, General & Internal","Web of Science - SCIE, Web of Science - SSCI"
American Journal Of Primatology,0275-2565,1098-2345,Zoology,Web of Science - SCIE
American Journal Of Psychiatry,0002-953X,1535-7228,Psychiatry,"Web of Science - SCIE, Web of Science - SSCI"
American Journal Of Psychology,0002-9556,1939-8298,"Psychology, Multidisciplinary",Web of Science - SSCI
American Journal Of Psychotherapy,0002-9564,2575-6559,"Psychology, Clinical",Web of Science - ESCI
American Journal Of Public Health,0090-0036,1541-0048,"Public, Environmental & Occupational Health","Web of Science - SCIE, Web of Science - SSCI"
American Journal Of Reproductive Immunology,1046-7408,1600-0897,"Immunology, Reproductive Biology",Web of Science - SCIE
American Journal Of Respiratory And Critical Care Medicine,1073-449X,1535-4970,"Critical Care Medicine, Respiratory System",Web of Science - SCIE
American Journal Of Respiratory Cell And Molecular Biology,1044-1549,1535-4989,"Biochemistry & Molecular Biology, Cell Biology, Respiratory System",Web of Science - SCIE
American Journal Of Rhinology & Allergy,1945-8924,1945-8932,Otorhinolaryngology,Web of Science - SCIE
American Journal Of Roentgenology,0361-803X,1546-3141,"Radiology, Nuclear Medicine & Medical Imaging",Web of Science - SCIE
American Journal Of Science,0002-9599,1945-452X,"Geosciences, Multidisciplinary",Web of Science - SCIE
American Journal Of Semiotics,0277-7126,2153-2990,"Humanities, Multidisciplinary",Web of Science - AHCI
American Journal Of Sexuality Education,1554-6128,1554-6136,Education & Educational Research,Web of Science - ESCI
American Journal Of Sociology,0002-9602,1537-5390,Sociology,Web of Science - SSCI
American Journal Of Speech-Language Pathology,1058-0360,1558-9110,"Audiology & Speech-Language Pathology, Rehabilitation, Linguistics","Web of Science - SCIE, Web of Science - SSCI"
American Journal Of Sports Medicine,0363-5465,1552-3365,"Orthopedics, Sport Sciences",Web of Science - SCIE
American Journal Of Stem Cells,2160-4150,2160-4150,Cell Biology,Web of Science - ESCI
American Journal Of Surgery,0002-9610,1879-1883,Surgery,Web of Science - SCIE
American Journal Of Surgical Pathology,0147-5185,1532-0979,"Pathology, Surgery",Web of Science - SCIE
American Journal Of The Medical Sciences,0002-9629,1538-2990,"Medicine, General & Internal",Web of Science - SCIE
American Journal Of Therapeutics,1075-2765,1536-3686,Pharmacology & Pharmacy,Web of Science - SCIE
American Journal Of Translational Research,1943-8141,1943-8141,"Oncology, Medicine, Research & Experimental",Web of Science - SCIE
American Journal Of Transplantation,1600-6135,1600-6143,"Surgery, Transplantation",Web of Science - SCIE
American Journal Of Tropical Medicine And Hygiene,0002-9637,1476-1645,"Public, Environmental & Occupational Health, Tropical Medicine",Web of Science - SCIE
American Journal Of Veterinary Research,0002-9645,1943-5681,Veterinary Sciences,Web of Science - SCIE
American Journal On Addictions,1055-0496,1521-0391,Substance Abuse,Web of Science - SSCI
American Law And Economics Review,1465-7252,1465-7260,"Economics, Law",Web of Science - SSCI
American Literary History,0896-7148,1468-4365,"Literature, American",Web of Science - AHCI
American Literary Realism,1540-3084,1940-5103,"Literature, American",Web of Science - AHCI
American Literature,0002-9831,1527-2117,"Literature, American",Web of Science - AHCI
American Malacological Bulletin,0740-2783,2162-2698,"Marine & Freshwater Biology, Zoology",Web of Science - SCIE
American Mathematical Monthly,0002-9890,1930-0972,Mathematics,Web of Science - SCIE
American Mineralogist,0003-004X,1945-3027,"Geochemistry & Geophysics, Mineralogy",Web of Science - SCIE
American Museum Novitates,0003-0082,1937-352X,"Biodiversity Conservation, Zoology",Web of Science - SCIE
American Music,0734-4392,1945-2349,Music,Web of Science - AHCI
American Naturalist,0003-0147,1537-5323,"Ecology, Evolutionary Biology",Web of Science - SCIE
American Nineteenth Century History,1466-4658,1743-7903,History,Web of Science - AHCI
American Periodicals,1054-7479,1548-4238,"Humanities, Multidisciplinary",Web of Science - ESCI
American Philosophical Quarterly,0003-0481,2152-1123,Philosophy,Web of Science - AHCI
American Poetry Review,0360-3709,2162-4984,Poetry,Web of Science - AHCI
American Political Science Review,0003-0554,1537-5943,Political Science,Web of Science - SSCI
American Political Thought,2161-1580,2161-1599,Political Science,Web of Science - ESCI
American Politics Research,1532-673X,1552-3373,Political Science,Web of Science - SSCI
American Psychologist,0003-066X,1935-990X,"Psychology, Multidisciplinary",Web of Science - SSCI
American Quarterly,0003-0678,1080-6490,"Humanities, Multidisciplinary",Web of Science - AHCI
American Review Of Canadian Studies,0272-2011,1943-9954,Area Studies,Web of Science - ESCI
American Review Of Public Administration,0275-0740,1552-3357,Public Administration,Web of Science - SSCI
American Scholar,0003-0937,2162-2892,"Humanities, Multidisciplinary",Web of Science - AHCI
American Scientist,0003-0996,1545-2786,Multidisciplinary Sciences,Web of Science - SCIE
American Sociological Review,0003-1224,1939-8271,Sociology,Web of Science - SSCI
American Sociologist,0003-1232,1936-4784,Sociology,Web of Science - ESCI
American Speech,0003-1283,1527-2133,"Linguistics, Language & Linguistics","Web of Science - AHCI, Web of Science - SSCI"
American Statistician,0003-1305,1537-2731,Statistics & Probability,Web of Science - SCIE
American Studies In Scandinavia,0044-8060,0044-8060,"Humanities, Multidisciplinary",Web of Science - AHCI
American Surgeon,0003-1348,1555-9823,Surgery,Web of Science - SCIE
Americas,0003-1615,1533-6247,History,"Web of Science - AHCI, Web of Science - SSCI"
America Sin Nombre,1577-3442,1989-9831,"Humanities, Multidisciplinary",Web of Science - ESCI
Ame Surgical Journal,2788-578X,2788-578X,Surgery,Web of Science - ESCI
Amfiteatru Economic,1582-9146,2247-9104,"Business, Economics, Management",Web of Science - SSCI
Amino Acids,0939-4451,1438-2199,Biochemistry & Molecular Biology,Web of Science - SCIE
Am Journal Of Art And Media Studies,2217-9666,2406-1654,Art,Web of Science - ESCI
Amme Idaresi Dergisi,1300-1795,1300-1795,Public Administration,Web of Science - SSCI
Amphibian & Reptile Conservation,1083-446X,1525-9153,Zoology,Web of Science - SCIE
Amphibia-Reptilia,0173-5373,1568-5381,Zoology,Web of Science - SCIE
Amyloid-Journal Of Protein Folding Disorders,1350-6129,1744-2818,"Biochemistry & Molecular Biology, Medicine, General & Internal, Research & Experimental",Web of Science - SCIE
Amyotrophic Lateral Sclerosis And Frontotemporal Degeneration,2167-8421,2167-9223,Clinical Neurology,Web of Science - SCIE
Anacronismo E Irrupcion,2250-4982,2250-4982,Political Science,Web of Science - ESCI
Anadolu Arastirmalari-Anatolian Research,0569-9746,2667-629X,"Archaeology, History",Web of Science - ESCI
Anadolu Universitesi Sanat & Tasarim Dergisi-Anadolu University Journal Of Art & Design,2146-9059,2146-9059,Art,Web of Science - ESCI
Anaerobe,1075-9964,1095-8274,Microbiology,Web of Science - SCIE
Anaesthesia,0003-2409,1365-2044,Anesthesiology,Web of Science - SCIE
Anaesthesia And Intensive Care,0310-057X,1448-0271,"Anesthesiology, Critical Care Medicine",Web of Science - SCIE
Anaesthesia And Intensive Care Medicine,1472-0299,1878-7584,Anesthesiology,Web of Science - ESCI
Anaesthesia Critical Care & Pain Medicine,2352-5568,2352-5568,"Anesthesiology, Critical Care Medicine",Web of Science - SCIE
Anaesthesia Pain & Intensive Care,1607-8322,2220-5799,Anesthesiology,Web of Science - ESCI
Anaesthesia Reports,2637-3726,2637-3726,Anesthesiology,Web of Science - ESCI
Anaesthesiologie,2731-6858,2731-6866,Anesthesiology,Web of Science - SCIE
Anaesthesiology Intensive Therapy,1642-5758,1731-2531,Anesthesiology,Web of Science - ESCI
Anafora,1849-2339,2459-5160,Literature,Web of Science - ESCI
Anais Brasileiros De Dermatologia,0365-0596,1806-4841,Dermatology,Web of Science - SCIE
Anais Brasileiros De Estudos Turisticos-Abet,2238-2925,2238-2925,"Hospitality, Leisure, Sport & Tourism",Web of Science - ESCI
Anais Da Academia Brasileira De Ciencias,0001-3765,1678-2690,Multidisciplinary Sciences,Web of Science - SCIE
Analecta Politica,2027-7458,2390-0067,Political Science,Web of Science - ESCI
Analele Stiintifice Ale Universitatii Ovidius Constanta-Seria Matematica,1224-1784,1844-0835,"Mathematics, Applied",Web of Science - SCIE
Analele Universitatii Bucuresti-Filosofie-Annals Of The University Of Bucharest-Philosophy,0068-3175,2537-4044,Philosophy,Web of Science - ESCI
Anales Afa,0327-358X,1850-1168,"Physics, Multidisciplinary",Web of Science - ESCI
Anales Cervantinos,0569-9878,1988-8325,"Literature, Romance",Web of Science - AHCI
Anales De Documentacion,1575-2437,1697-7904,Information Science & Library Science,Web of Science - ESCI
Anales De Filologia Francesa,0213-2958,1989-4678,"Language & Linguistics, Literature, Romance",Web of Science - ESCI
Anales De Geografia De La Universidad Complutense,0211-9803,1988-2378,Geography,Web of Science - ESCI
Anales De Historia Del Arte,0214-6452,1988-2491,Art,Web of Science - ESCI
Anales De Investigacion En Arquitectura,2301-1505,2301-1513,Architecture,Web of Science - ESCI
Anales De La Facultad De Medicina-Universidad De La Republica Uruguay,2301-1254,2301-1254,"Medicine, General & Internal",Web of Science - ESCI
Anales De La Literatura Espanola Contemporanea,0272-1635,,"Literature, Romance",Web of Science - AHCI
Anales De La Universidad De Alicante Historia Medieval,2695-9747,2695-9747,Medieval & Renaissance Studies,Web of Science - ESCI
Anales Del Instituto De Actuarios Espanoles,0534-3232,2531-2308,Economics,Web of Science - ESCI
Anales De Literatura Chilena,0717-6058,0719-0913,"Literature, Romance",Web of Science - AHCI
Anales De Literatura Espanola,0212-5889,2695-4257,"Literature, Romance",Web of Science - ESCI
Anales De Literatura Hispanoamericana,0210-4547,1988-2351,"Literature, Romance",Web of Science - ESCI
Anales Del Jardin Botanico De Madrid,0211-1322,1988-3196,Plant Sciences,Web of Science - SCIE
Anales Del Seminario De Historia De La Filosofia,0211-2337,1988-2564,Philosophy,Web of Science - AHCI
Anales Del Sistema Sanitario De Navarra,1137-6627,2340-3527,"Public, Environmental & Occupational Health","Web of Science - SCIE, Web of Science - SSCI"
Anales De Pediatria,1695-4033,1695-9531,Pediatrics,Web of Science - SCIE
Anales De Psicologia,0212-9728,1695-2294,"Psychology, Multidisciplinary","Web of Science - SCIE, Web of Science - SSCI"
Anales Galdosianos,0569-9924,2161-301X,"Literature, Romance",Web of Science - ESCI
Analisi-Quaderns De Comunicacio I Cultura,0211-2175,2340-5236,Communication,Web of Science - ESCI
Analisis Filosofico,0326-1301,1851-9636,Philosophy,Web of Science - ESCI
Anali Zavoda Za Povijesne Znanosti Hrvatske Akademije Znanosti I Umjetnosti U Dubrovniku,1330-0598,1848-7815,History,Web of Science - ESCI
Analog Integrated Circuits And Signal Processing,0925-1030,1573-1979,"Computer Science, Hardware & Architecture, Engineering, Electrical & Electronic",Web of Science - SCIE
Analyses Of Social Issues And Public Policy,1529-7489,1530-2415,"Social Issues, Psychology, Social",Web of Science - SSCI
Analyses-Revue De Critique Et De Theorie Litteraire,1715-9261,1715-9261,Literary Theory & Criticism,Web of Science - ESCI
Analysis,0003-2638,1467-8284,Philosophy,Web of Science - AHCI
Analysis And Applications,0219-5305,1793-6861,"Mathematics, Applied",Web of Science - SCIE
Analysis And Geometry In Metric Spaces,2299-3274,2299-3274,Mathematics,Web of Science - SCIE
Analysis And Mathematical Physics,1664-2368,1664-235X,"Mathematics, Applied",Web of Science - SCIE
Analysis & Pde,2157-5045,1948-206X,"Mathematics, Applied",Web of Science - SCIE
Analysis & Sensing,2629-2742,2629-2742,"Chemistry, Analytical, Nanoscience & Nanotechnology",Web of Science - ESCI
Analysis-International Mathematical Journal Of Analysis And Its Applications,0174-4747,2196-6753,"Mathematics, Applied",Web of Science - ESCI
Analysis In Theory And Applications,1672-4070,1573-8175,"Mathematics, Applied",Web of Science - ESCI
Analysis Mathematica,0133-3852,1588-273X,Mathematics,Web of Science - SCIE
Analysis Of Verbal Behavior,0889-9401,2196-8926,"Psychology, Multidisciplinary",Web of Science - ESCI
Analyst,0003-2654,1364-5528,"Chemistry, Analytical",Web of Science - SCIE
Analytica,2673-4532,2673-4532,"Chemistry, Analytical",Web of Science - ESCI
Analytica Chimica Acta,0003-2670,1873-4324,"Chemistry, Analytical",Web of Science - SCIE
Analytical And Bioanalytical Chemistry,1618-2642,1618-2650,"Biochemical Research Methods, Chemistry, Analytical",Web of Science - SCIE
Analytical And Bioanalytical Chemistry Research,2383-093X,2383-093X,"Chemistry, Analytical",Web of Science - ESCI
Analytical & Bioanalytical Electrochemistry,2008-4226,2008-4226,Electrochemistry,Web of Science - ESCI
Analytical Biochemistry,0003-2697,1096-0309,"Biochemical Research Methods, Biochemistry & Molecular Biology, Chemistry, Analytical",Web of Science - SCIE
Analytical Cellular Pathology,2210-7177,2210-7185,"Oncology, Cell Biology, Pathology",Web of Science - SCIE
Analytical Chemistry,0003-2700,1520-6882,"Chemistry, Analytical",Web of Science - SCIE
Analytical Chemistry Letters,2229-7928,2230-7532,"Chemistry, Analytical",Web of Science - ESCI
Analytical Letters,0003-2719,1532-236X,"Chemistry, Analytical",Web of Science - SCIE
Analytical Methods,1759-9660,1759-9679,"Chemistry, Analytical, Food Science & Technology, Spectroscopy",Web of Science - SCIE
Analytical Science Advances,2628-5452,2628-5452,"Chemistry, Analytical",Web of Science - ESCI
Analytical Science And Technology,1225-0163,2288-8985,"Chemistry, Analytical",Web of Science - ESCI
Analytical Sciences,0910-6340,1348-2246,"Chemistry, Analytical",Web of Science - SCIE
Analytic Methods In Accident Research,2213-6657,2213-6665,"Public, Environmental & Occupational Health, Transportation",Web of Science - SSCI
Analytic Philosophy,2153-9596,2153-960X,Philosophy,Web of Science - AHCI
Anaquel De Estudios Arabes,1130-3964,1988-2645,"Humanities, Multidisciplinary",Web of Science - ESCI
Anasthesiologie & Intensivmedizin,0170-5334,1439-0256,"Anesthesiology, Critical Care Medicine",Web of Science - SCIE
Anasthesiologie Intensivmedizin Notfallmedizin Schmerztherapie,0939-2661,1439-1074,"Anesthesiology, Critical Care Medicine",Web of Science - SCIE
Anatolia-International Journal Of Tourism And Hospitality Research,1303-2917,2156-6909,"Hospitality, Leisure, Sport & Tourism",Web of Science - ESCI
Anatolian Journal Of Cardiology,2149-2263,2149-2271,Cardiac & Cardiovascular System,Web of Science - SCIE
Anatolian Studies,0066-1546,2048-0849,"Archaeology, History",Web of Science - AHCI
Anatomia Histologia Embryologia,0340-2096,1439-0264,"Anatomy & Morphology, Veterinary Sciences",Web of Science - SCIE
Anatomical Record-Advances In Integrative Anatomy And Evolutionary Biology,1932-8486,1932-8494,Anatomy & Morphology,Web of Science - SCIE
Anatomical Science International,1447-6959,1447-073X,Anatomy & Morphology,Web of Science - SCIE
Anatomical Sciences Education,1935-9772,1935-9780,"Education, Scientific Disciplines",Web of Science - SCIE
Anatomy & Cell Biology,2093-3665,2093-3673,Anatomy & Morphology,Web of Science - ESCI
Ancient Asia-Journal Of The  Society Of South Asian Archaeology,2042-5937,2042-5937,Archaeology,Web of Science - ESCI
Ancient Civilizations From Scythia To Siberia,0929-077X,1570-0577,"Humanities, Multidisciplinary",Web of Science - ESCI
Ancient Mesoamerica,0956-5361,1469-1787,Archaeology,Web of Science - AHCI
Ancient Near Eastern Studies,1378-4641,1783-1326,"Humanities, Multidisciplinary",Web of Science - ESCI
Ancient Philosophy Today: Dialogoi,2516-1156,2516-1164,"History & Philosophy Of Science, Philosophy",Web of Science - ESCI
Ancient Science Of Life,0257-7941,2249-9547,Integrative & Complementary Medicine,Web of Science - ESCI
Anclajes,0329-3807,1851-4669,Literature,Web of Science - ESCI
Andamios,1870-0063,2594-1917,"Social Sciences, Interdisciplinary",Web of Science - SSCI
Andean Geology,0718-7106,0718-7106,Geology,Web of Science - SCIE
Andean Journal Of Education,2631-2816,2631-2816,Education & Educational Research,Web of Science - ESCI
Andes Pediatrica,2452-6045,2452-6053,Pediatrics,Web of Science - ESCI
Andrologia,0303-4569,1439-0272,Andrology,Web of Science - SCIE
Andrology,2047-2919,2047-2927,Andrology,Web of Science - SCIE
Anduli,1696-0270,2340-4973,Sociology,Web of Science - ESCI
Anemia,2090-1267,2090-1275,Hematology,Web of Science - ESCI
Anesteziologie A Intenzivni Medicina,1214-2158,1805-4412,Anesthesiology,Web of Science - ESCI
Anesthesia And Analgesia,0003-2999,1526-7598,Anesthesiology,Web of Science - SCIE
Anesthesia And Pain Medicine,1975-5171,2383-7977,Anesthesiology,Web of Science - ESCI
Anesthesie & Reanimation,2352-5800,2352-5819,Anesthesiology,Web of Science - ESCI
Anesthesiology,0003-3022,1528-1175,Anesthesiology,Web of Science - SCIE
Anesthesiology And Perioperative Science,2731-8389,2731-8389,"Surgery, Anesthesiology",Web of Science - ESCI
Anesthesiology Research And Practice,1687-6962,1687-6970,Anesthesiology,Web of Science - ESCI
Angelaki-Journal Of The Theoretical Humanities,0969-725X,1469-2899,"Humanities, Multidisciplinary",Web of Science - AHCI
Angermion-Yearbook For Anglo-German Literary Criticism Intellectual History And Cultural Transfers-Jahrbuch Fuer Britisch-Deutsche Kulturbeziehungen,1438-2091,1868-9426,"Humanities, Multidisciplinary",Web of Science - ESCI
Angewandte Chemie-International Edition,1521-3773,1521-3773,"Chemistry, Multidisciplinary",Web of Science - SCIE
Angiogenesis,0969-6970,1573-7209,Peripheral Vascular Diseases,Web of Science - SCIE
Angiologia,0003-3170,1695-2987,Peripheral Vascular Diseases,Web of Science - ESCI
Angiology,0003-3197,1940-1574,Peripheral Vascular Diseases,Web of Science - SCIE
Angle Orthodontist,0003-3219,1945-7103,"Dentistry, Oral Surgery & Medicine",Web of Science - SCIE
Anglia-Zeitschrift Fur Englische Philologie,0340-5222,1865-8938,"Language & Linguistics, Literature",Web of Science - AHCI
Anil Aggrawals Internet Journal Of Forensic Medicine And Toxicology,0972-8066,0972-8074,"Medicine, General & Internal",Web of Science - ESCI
Animal,1751-7311,1751-732X,"Agriculture, Dairy & Animal Science, Veterinary Sciences",Web of Science - SCIE
Animal Behaviour,0003-3472,1095-8282,"Behavioral Sciences, Zoology",Web of Science - SCIE
Animal Biodiversity And Conservation,1578-665X,2014-928X,Biodiversity Conservation,Web of Science - SCIE
Animal Biology,1570-7555,1570-7563,Zoology,Web of Science - SCIE
Animal Bioscience,2765-0189,2765-0235,"Agriculture, Dairy & Animal Science",Web of Science - SCIE
Animal Biotechnology,1049-5398,1532-2378,"Agriculture, Dairy & Animal Science, Biotechnology & Applied Microbiology",Web of Science - SCIE
Animal Biotelemetry,2050-3385,2050-3385,"Biodiversity Conservation, Ecology, Marine & Freshwater Biology",Web of Science - SCIE
Animal Cells And Systems,1976-8354,2151-2485,"Cell Biology, Zoology",Web of Science - SCIE
Animal Cognition,1435-9448,1435-9456,"Behavioral Sciences, Zoology",Web of Science - SCIE
Animal Conservation,1367-9430,1469-1795,"Biodiversity Conservation, Ecology",Web of Science - SCIE
Animal Diseases,2731-0442,2731-0442,Veterinary Sciences,Web of Science - ESCI
Animal Feed Science And Technology,0377-8401,1873-2216,"Agriculture, Dairy & Animal Science",Web of Science - SCIE
Animal Frontiers,2160-6056,2160-6064,"Agriculture, Dairy & Animal Science",Web of Science - SCIE
Animal Genetics,0268-9146,1365-2052,"Agriculture, Dairy & Animal Science, Genetics & Heredity",Web of Science - SCIE
Animal Health Research Reviews,1466-2523,1475-2654,Veterinary Sciences,Web of Science - SCIE
Animal Microbiome,2524-4671,2524-4671,"Microbiology, Veterinary Sciences",Web of Science - ESCI
Animal Models And Experimental Medicine,2096-5451,2576-2095,"Biochemistry & Molecular Biology, Medicine, Research & Experimental",Web of Science - ESCI
Animal Nutrition,2405-6383,2405-6545,"Agriculture, Dairy & Animal Science, Veterinary Sciences",Web of Science - SCIE
Animal Production Science,1836-0939,1836-5787,"Agriculture, Dairy & Animal Science",Web of Science - SCIE
Animal Reproduction,1806-9614,1984-3143,"Agriculture, Dairy & Animal Science",Web of Science - SCIE
Animal Reproduction Science,0378-4320,1873-2232,"Agriculture, Dairy & Animal Science, Reproductive Biology, Veterinary Sciences",Web of Science - SCIE
Animal Research And One Health,2835-5075,2835-5075,"Agriculture, Dairy & Animal Science, Veterinary Sciences",Web of Science - ESCI
Animals,2076-2615,2076-2615,"Agriculture, Dairy & Animal Science, Veterinary Sciences",Web of Science - SCIE
Animal Science Journal,1344-3941,1740-0929,"Agriculture, Dairy & Animal Science",Web of Science - SCIE
Animal Science Papers And Reports,0860-4037,2300-8342,"Agriculture, Dairy & Animal Science",Web of Science - SCIE
Animal Taxonomy And Ecology,3004-300X,3004-3018,Zoology,Web of Science - SCIE
Animal Welfare,0962-7286,2054-1538,"Veterinary Sciences, Zoology",Web of Science - SCIE
Animation-An Interdisciplinary Journal,1746-8477,1746-8485,"Film, Radio, Television",Web of Science - AHCI
Ankara Avrupa Calismalari Dergisi-Ankara Review Of European Studies,1303-2518,1303-2518,Area Studies,Web of Science - ESCI
Ankara Universitesi Egitim Bilimleri Fakultesi Ozel Egitim Dergisi-Ankara University Faculty Of Educational Sciences Journal Of Special Education,1304-7639,2149-8261,"Education, Special",Web of Science - ESCI
Ankara Universitesi Veteriner Fakultesi Dergisi,1300-0861,1308-2817,Veterinary Sciences,Web of Science - SCIE
Annalen Der Physik,0003-3804,1521-3889,"Physics, Multidisciplinary",Web of Science - SCIE
Annales-Anali Za Istrske In Mediteranske Studije-Series Historia Et Sociologia,1408-5348,2591-1775,"Humanities, Multidisciplinary",Web of Science - AHCI
Annales Botanici Fennici,0003-3847,1797-2442,Plant Sciences,Web of Science - SCIE
Annales De Biologie Clinique,0003-3898,1950-6112,"Medical Laboratory Technology, Medicine, Research & Experimental",Web of Science - SCIE
Annales De Bretagne Et Des Pays De L Ouest,0399-0826,2108-6443,History,Web of Science - AHCI
Annales De Chirurgie Plastique Esthetique,0294-1260,1768-319X,Surgery,Web of Science - SCIE
Annales De Dermatologie Et De Venereologie,0151-9638,2214-5451,Dermatology,Web of Science - SCIE
Annales De La Societe Entomologique De France,0037-9271,2168-6351,Entomology,Web of Science - SCIE
Annales De L Institut Fourier,0373-0956,1777-5310,Mathematics,Web of Science - SCIE
Annales De L Institut Henri Poincare-Analyse Non Lineaire,0294-1449,1873-1430,"Mathematics, Applied",Web of Science - SCIE
Annales De L Institut Henri Poincare D,2308-5827,2308-5835,"Physics, Mathematical",Web of Science - ESCI
Annales De L Institut Henri Poincare-Probabilites Et Statistiques,0246-0203,1778-7017,Statistics & Probability,Web of Science - SCIE
Annales D Endocrinologie,0003-4266,2213-3941,Endocrinology & Metabolism,Web of Science - SCIE
Annales De Paleontologie,0753-3969,1778-3666,Paleontology,Web of Science - SCIE
Annales De Pathologie,0242-6498,2213-008X,Pathology,Web of Science - SCIE
Annales Fennici Mathematici,2737-0690,2737-114X,Mathematics,Web of Science - SCIE
Annales Francaises De Medecine D Urgence,2108-6524,2108-6591,Emergency Medicine,Web of Science - ESCI
Annales Geophysicae,0992-7689,1432-0576,"Astronomy & Astrophysics, Geosciences, Multidisciplinary, Meteorology & Atmospheric Sciences",Web of Science - SCIE
Annales Henri Poincare,1424-0637,1424-0661,"Physics, Multidisciplinary, Particles & Fields, Mathematical",Web of Science - SCIE
Annales Historiques De La Revolution Francaise,0003-4436,1952-403X,History,Web of Science - AHCI
Annales Instituti Archaeologici,1845-4046,1848-6363,Archaeology,Web of Science - ESCI
Annales Mathematicae Et Informaticae,1787-5021,1787-6117,Mathematics,Web of Science - ESCI
Annales Mathematicae Silesianae,0860-2107,2391-4238,"Mathematics, Applied",Web of Science - ESCI
Annales Mathematiques Du Quebec,2195-4755,2195-4763,Mathematics,Web of Science - ESCI
Annales Medico-Psychologiques,0003-4487,1769-6631,"Psychiatry, Psychology",Web of Science - SCIE
Annales Pharmaceutiques Francaises,0003-4509,0003-4509,Pharmacology & Pharmacy,Web of Science - ESCI
Annales Polonici Mathematici,0066-2216,1730-6272,Mathematics,Web of Science - SCIE
Annales Scientifiques De L Ecole Normale Superieure,0012-9593,1873-2151,Mathematics,Web of Science - SCIE
Annales Societatis Geologorum Poloniae,0208-9068,0208-9068,Geology,Web of Science - SCIE
Annales Universitatis Paedagogicae Cracoviensis-Studia Mathematica,2081-545X,2300-133X,Mathematics,Web of Science - ESCI
Annales Zoologici,0003-4541,1734-1833,Entomology,Web of Science - SCIE
Annales Zoologici Fennici,0003-455X,1797-2450,"Ecology, Zoology",Web of Science - SCIE
Annali Della Scuola Normale Superiore Di Pisa-Classe Di Scienze,0391-173X,2036-2145,Mathematics,Web of Science - SCIE
Annali Dell Istituto Storico Italo-Germanico In Trento,0392-0011,2612-2251,History,Web of Science - ESCI
Annali Dell Istituto Superiore Di Sanita,0021-2571,2384-8553,"Public, Environmental & Occupational Health",Web of Science - SCIE
Annali Di Botanica,0365-0812,2239-3129,"Plant Sciences, Environmental Sciences",Web of Science - SCIE
Annali Di Igiene Medicina Preventiva E Di Comunita,1120-9135,1120-9135,Health Care Sciences & Services,Web of Science - ESCI
Annali Di Matematica Pura Ed Applicata,0373-3114,1618-1891,"Mathematics, Applied",Web of Science - SCIE
Annali Di Storia Delle Universita Italiane,1127-8250,2724-5527,History,Web of Science - ESCI
Annali Italiani Di Chirurgia,0003-469X,2239-253X,Surgery,Web of Science - SCIE
Annals Abbasi Shaheed Hospital & Karachi Medical & Dental College,1563-3241,1563-3241,"Medicine, General & Internal",Web of Science - ESCI
Annals Academy Of Medicine Singapore,2972-4066,2972-4066,"Medicine, General & Internal",Web of Science - SCIE
Annals Of Actuarial Science,1748-4995,1748-5002,"Business, Finance, Economics, Mathematics, Interdisciplinary Applications, Social Sciences, Mathematical Methods, Statistics & Probability",Web of Science - ESCI
Annals Of African Medicine,1596-3519,0975-5764,"Medicine, General & Internal",Web of Science - ESCI
Annals Of Agricultural And Environmental Medicine,1232-1966,1898-2263,"Environmental Sciences, Public, Environmental & Occupational Health",Web of Science - SCIE
Annals Of Agricultural Sciences,0570-1783,2090-8377,"Agriculture, Multidisciplinary",Web of Science - SCIE
Annals Of Allergy Asthma & Immunology,1081-1206,1534-4436,"Allergy, Immunology",Web of Science - SCIE
