Journal title,ISSN,eISSN,Categorias,Indexador
Accounting Horizons,0888-7993,1558-7975,"Business, Finance",Web of Science - SSCI
Accounting In Europe,1744-9480,1744-9499,"Business, Finance",Web of Science - ESCI
Accounting Organizations And Society,0361-3682,1873-6289,"Business, Finance",Web of Science - SSCI
Accounting Perspectives,1911-382X,1911-3838,"Business, Finance",Web of Science - ESCI
Accounting Research Journal,1030-9616,1839-5465,"Business, Finance",Web of Science - ESCI
Accounting Review,0001-4826,1558-7967,"Business, Finance",Web of Science - SSCI
Accounts Of Chemical Research,0001-4842,1520-4898,"Chemistry, Multidisciplinary",Web of Science - SCIE
Accounts Of Materials Research,2643-6728,2643-6728,"Chemistry, Multidisciplinary, Materials Science",Web of Science - ESCI
Accreditation And Quality Assurance,0949-1775,1432-0517,"Chemistry, Analytical, Instruments & Instrumentation",Web of Science - SCIE
Ace-Architecture City And Environment,1886-4805,1886-4805,"Architecture, Urban Studies",Web of Science - ESCI
Acervo,0102-700X,2237-8723,"Humanities, Multidisciplinary, History, Information Science & Library Science",Web of Science - ESCI
Acg Case Reports Journal,2326-3253,2326-3253,Gastroenterology & Hepatology,Web of Science - ESCI
Aci Materials Journal,0889-325X,1944-737X,"Construction & Building Technology, Materials Science, Multidisciplinary",Web of Science - SCIE
Aci Structural Journal,0889-3241,1944-7361,"Construction & Building Technology, Engineering, Civil, Materials Science, Multidisciplinary",Web of Science - SCIE
Acm Communications In Computer Algebra,1932-2232,1932-2240,"Mathematics, Applied",Web of Science - ESCI
Acm Computing Surveys,0360-0300,1557-7341,"Computer Science, Theory & Methods",Web of Science - SCIE
Acme-Annali Della Facolta Di Studi Umanistici Dell Universita Degli Studi Di Milano,0001-494X,2282-0035,"Humanities, Multidisciplinary",Web of Science - ESCI
Acm Journal Of Data And Information Quality,1936-1955,1936-1955,"Computer Science, Information Systems",Web of Science - ESCI
Acm Journal On Computing And Cultural Heritage,1556-4673,1556-4711,"Computer Science, Interdisciplinary Applications, Humanities, Multidisciplinary","Web of Science - AHCI, Web of Science - SCIE"
Acm Journal On Emerging Technologies In Computing Systems,1550-4832,1550-4840,"Computer Science, Hardware & Architecture, Engineering, Electrical & Electronic, Nanoscience & Nanotechnology",Web of Science - SCIE
Acm Sigcomm Computer Communication Review,0146-4833,1943-5819,"Computer Science, Information Systems",Web of Science - SCIE
Acm Sigecom Exchanges,1551-9031,1551-9031,"Computer Science, Interdisciplinary Applications",Web of Science - ESCI
Acm Transactions On Accessible Computing,1936-7228,1936-7236,"Computer Science, Interdisciplinary Applications",Web of Science - ESCI
Acm Transactions On Algorithms,1549-6325,1549-6333,"Computer Science, Theory & Methods, Mathematics, Applied",Web of Science - SCIE
Acm Transactions On Applied Perception,1544-3558,1544-3965,"Computer Science, Software Engineering",Web of Science - SCIE
Acm Transactions On Architecture And Code Optimization,1544-3566,1544-3973,"Computer Science, Hardware & Architecture, Theory & Methods",Web of Science - SCIE
Acm Transactions On Asian And Low-Resource Language Information Processing,2375-4699,2375-4702,"Computer Science, Artificial Intelligence",Web of Science - SCIE
Acm Transactions On Autonomous And Adaptive Systems,1556-4665,1556-4703,"Computer Science, Artificial Intelligence, Information Systems, Theory & Methods",Web of Science - SCIE
Acm Transactions On Computational Logic,1529-3785,1557-945X,"Computer Science, Theory & Methods, Logic",Web of Science - SCIE
Acm Transactions On Computation Theory,1942-3454,1942-3462,"Computer Science, Theory & Methods",Web of Science - ESCI
Acm Transactions On Computer-Human Interaction,1073-0516,1557-7325,"Computer Science, Cybernetics, Information Systems",Web of Science - SCIE
Acm Transactions On Computer Systems,0734-2071,1557-7333,"Computer Science, Theory & Methods",Web of Science - SCIE
Acm Transactions On Computing Education,1946-6226,1946-6226,"Education, Scientific Disciplines",Web of Science - SCIE
Acm Transactions On Computing For Healthcare,2691-1957,2637-8051,"Computer Science, Interdisciplinary Applications, Medical Informatics",Web of Science - ESCI
Acm Transactions On Cyber-Physical Systems,2378-962X,2378-9638,"Computer Science, Interdisciplinary Applications",Web of Science - ESCI
Acm Transactions On Database Systems,0362-5915,1557-4644,"Computer Science, Information Systems, Software Engineering",Web of Science - SCIE
Acm Transactions On Design Automation Of Electronic Systems,1084-4309,1557-7309,"Computer Science, Hardware & Architecture, Software Engineering",Web of Science - SCIE
Acm Transactions On Economics And Computation,2167-8375,2167-8383,"Computer Science, Interdisciplinary Applications",Web of Science - ESCI
Acm Transactions On Embedded Computing Systems,1539-9087,1558-3465,"Computer Science, Hardware & Architecture, Software Engineering",Web of Science - SCIE
Acm Transactions On Evolutionary Learning And Optimization,2688-3007,2688-3007,"Computer Science, Theory & Methods, Artificial Intelligence",Web of Science - ESCI
Acm Transactions On Graphics,0730-0301,1557-7368,"Computer Science, Software Engineering",Web of Science - SCIE
Acm Transactions On Human-Robot Interaction,2573-9522,2573-9522,Robotics,Web of Science - ESCI
Acm Transactions On Information Systems,1046-8188,1558-2868,"Computer Science, Information Systems",Web of Science - SCIE
Acm Transactions On Intelligent Systems And Technology,2157-6904,2157-6912,"Computer Science, Artificial Intelligence, Information Systems",Web of Science - SCIE
Acm Transactions On Interactive Intelligent Systems,2160-6455,2160-6463,"Computer Science, Artificial Intelligence",Web of Science - SCIE
Acm Transactions On Internet Of Things,2691-1914,2577-6207,"Computer Science, Information Systems, Engineering, Electrical & Electronic, Telecommunications",Web of Science - ESCI
Acm Transactions On Internet Technology,1533-5399,1557-6051,"Computer Science, Information Systems, Software Engineering",Web of Science - SCIE
Acm Transactions On Knowledge Discovery From Data,1556-4681,1556-472X,"Computer Science, Information Systems, Software Engineering",Web of Science - SCIE
Acm Transactions On Management Information Systems,2158-656X,2158-6578,"Computer Science, Information Systems",Web of Science - ESCI
Acm Transactions On Mathematical Software,0098-3500,1557-7295,"Computer Science, Software Engineering, Mathematics, Applied",Web of Science - SCIE
Acm Transactions On Modeling And Computer Simulation,1049-3301,1558-1195,"Computer Science, Interdisciplinary Applications, Mathematics, Applied",Web of Science - SCIE
Acm Transactions On Modeling And Performance Evaluation Of Computing Systems,2376-3639,2376-3647,"Computer Science, Information Systems",Web of Science - ESCI
